DateTime,Resonant Detuning
2026-02-10 14:24:24,-23.241491529871737
2026-02-11 12:01:56,-23.175
2026-02-12 13:21:20,-23.25435862075124
2026-02-12 15:48:06,-23.235
2026-02-12 16:25:49,-23.23463668516198
2026-02-13 16:35:24,-23.261809873400555
2026-02-15 13:56:13,-23.4984437035146
2026-02-15 16:21:35,-23.4917890661407
2026-02-16 13:23:34,-23.4524542502864
2026-02-17 13:16:46,-23.526375742488483
2026-02-18 11:57:36,-23.49
2026-02-18 18:02:06,-23.503718697509374
2026-02-18 21:07:04,-23.49899253167076
2026-02-19 10:39:13,-23.43115169501612
2026-02-19 16:08:41,-23.389341056061006
2026-02-19 16:58:38,-23.378
2026-02-19 18:18:48,-23.378893122347485
2026-02-20 13:45:30,-23.440298280926232
2026-02-20 14:02:59,-23.43948606852499
2026-02-20 14:20:08,-23.430837155184474
2026-02-20 15:15:51,-23.41996437790226
2026-02-23 10:58:14,-23.27
2026-02-23 14:21:00,-23.269486393001564
2026-02-23 17:35:05,-23.29712233870586
2026-02-24 13:45:53,-23.223
2026-02-24 17:09:34,-17.55868342553328
2026-02-24 18:36:52,-17.56963726386475
2026-02-25 14:51:08,-17.700058021795307
2026-02-25 17:56:14,-17.69974101421294
2026-02-26 13:35:41,-17.85
2026-02-26 14:07:40,-17.584352029787624
2026-02-26 15:01:48,-17.582273389378518
2026-02-26 16:00:30,-23.274641182044988
2026-02-26 17:32:53,-23.273889461993743
2026-02-27 13:45:50,-23.46428956254611
2026-02-27 14:35:59,-23.468016563677047
