DateTime,Resonant Detuning
2026-02-10 14:30:29,22.929649796590763
2026-02-11 12:37:19,23.00201574875848
2026-02-12 13:32:50,22.93099559556614
2026-02-12 17:55:04,22.94880134177654
2026-02-13 16:41:31,22.91433198104938
2026-02-15 16:28:34,22.686609024496274
2026-02-16 13:30:32,22.71763440562487
2026-02-17 13:25:16,22.754045011581848
2026-02-18 12:04:12,22.748724334772188
2026-02-19 16:37:55,22.873976320189477
2026-02-20 14:11:04,22.82032530066986
2026-02-20 14:29:30,22.827248942985587
2026-02-20 15:25:55,22.83524167761096
2026-02-23 11:01:53,22.87964143210205
2026-02-24 13:51:23,23.013
2026-02-24 17:27:50,17.312839636922817
2026-02-25 15:18:24,17.189994441828315
2026-02-26 13:42:48,17.31
2026-02-26 14:11:19,17.307757806159213
2026-02-26 16:10:33,23.002993359658408
2026-02-27 14:31:58,22.912648780433646
