8500,0,0.015058824,0.021882353,0.029882353,0.039058824,0.049647059,0.061764706,0.075529412,0.090941176,0.108,0.127058824,0.147882353,0.170588235,0.195176471,0.221529412,0.249647059,0.279411765,0.310588235,0.343176471,0.376823529,0.411411765,0.446588235,0.482235294,0.517882353,0.553529412,0.588705882,0.623294118,0.656941176,0.689529412,0.720705882,0.750470588,0.778588235,0.804941176,0.829529412,0.852235294,0.873058824,0.892117647,0.909176471,0.924588235,0.938352941,0.950470588,0.961058824,0.970235294,0.978235294,0.985058824,0.990941176,0.995882353,1
350,0.00E+00,4.63E-08,5.92E-08,1.18E-07,2.70E-07,6.41E-07,1.47E-06,3.24E-06,6.62E-06,1.30E-05,2.51E-05,4.51E-05,7.99E-05,0.00013356,0.000216662,0.000344856,0.00052166,0.000772515,0.001104822,0.001567078,0.002064071,0.002743998,0.003529156,0.00442545,0.005365793,0.006467264,0.0075283,0.008642961,0.009662244,0.010639907,0.011392885,0.012258644,0.012941741,0.013860788,0.014349755,0.014933628,0.015192512,0.015509069,0.015827717,0.015985894,0.016137799,0.01629773,0.016562955,0.016588992,0.01673098,0.016848754,0.016842885,0.016944941
352.5,0.00E+00,3.91E-08,6.07E-08,1.19E-07,2.70E-07,6.59E-07,1.50E-06,3.30E-06,5.41E-08,1.35E-05,2.55E-05,4.60E-05,8.08E-05,0.000136259,0.000222357,0.000349904,0.000533456,0.000797031,0.001131627,0.001585292,0.002156519,0.002842111,0.003641326,0.004504962,0.005546955,0.006587061,0.00770415,0.008741105,0.00966683,0.010775151,0.011720234,0.012495674,0.013360489,0.014041899,0.014545706,0.015020845,0.015652947,0.015786571,0.016156955,0.016479449,0.016704405,0.016928145,0.017047403,0.017224939,0.017262307,0.01733165,0.017337856,0.01738089
355,0.00E+00,3.98E-08,6.94E-08,1.20E-07,2.89E-07,6.59E-07,1.53E-06,3.35E-06,7.08E-06,1.38E-05,2.65E-05,4.76E-05,8.29E-05,0.000139964,0.000228664,0.000359646,0.000550269,0.000810356,0.001168761,0.001638535,0.002216846,0.002898383,0.003721808,0.004666477,0.005692843,0.006803788,0.007873592,0.008981845,0.010141497,0.011107963,0.011967652,0.013024168,0.013931006,0.014483514,0.014929918,0.015562222,0.015883366,0.016379484,0.016741031,0.016940759,0.017024604,0.017286322,0.017468309,0.017602338,0.017775085,0.017783854,0.017940885,0.017915186
357.5,0.00E+00,3.54E-08,6.05E-08,1.25E-07,2.80E-07,6.73E-07,1.55E-06,3.47E-06,7.18E-06,1.41E-05,2.68E-05,4.92E-05,8.60E-05,0.000145476,0.00023668,0.000370883,0.000563596,0.000834369,0.001208917,0.001685312,0.002261124,0.002975184,0.003824036,0.004773485,0.00577901,0.006877649,0.008080066,0.00920788,0.010306352,0.011457302,0.012402994,0.013434822,0.014218289,0.014992042,0.015605594,0.016150817,0.016516682,0.016883087,0.017036542,0.017401598,0.01765158,0.017867092,0.017984864,0.018098117,0.018118084,0.018270461,0.018401049,0.018396598
360,0.00E+00,9.04E-08,7.39E-08,1.28E-07,2.87E-07,6.94E-07,1.60E-06,3.55E-06,7.42E-06,1.44E-05,2.73E-05,4.98E-05,8.71E-05,0.00014684,0.000237444,0.000376249,0.000575539,0.000855429,0.00122508,0.001709951,0.002324826,0.003058729,0.003905258,0.0048968,0.005959816,0.007145572,0.008278985,0.00947668,0.010606383,0.011703574,0.012779449,0.013704229,0.014597712,0.015357975,0.015860905,0.016516682,0.017027639,0.017384871,0.017800043,0.018105201,0.018371032,0.018540205,0.018689276,0.018865059,0.018800371,0.01897042,0.01895612,0.019084686
362.5,0.00E+00,2.93E-08,6.75E-08,1.36E-07,3.00E-07,6.99E-07,1.61E-06,3.58E-06,7.50E-06,1.49E-05,2.80E-05,5.12E-05,8.90E-05,0.000150807,0.000245219,0.000384446,0.000586666,0.000872142,0.001259152,0.001759262,0.00237506,0.003099504,0.003982203,0.004976427,0.006060793,0.007214509,0.008414632,0.009619883,0.01089063,0.012041918,0.013078468,0.013937144,0.014872313,0.015603166,0.016324442,0.016952564,0.017430199,0.017720584,0.018115858,0.018379869,0.018610896,0.018877267,0.01889629,0.019100402,0.019218985,0.019400096,0.019445694,0.019586603
365,0.00E+00,3.81E-08,6.37E-08,1.29E-07,2.93E-07,7.11E-07,1.62E-06,3.60E-06,7.46E-06,1.49E-05,2.82E-05,5.16E-05,9.04E-05,0.000152621,0.000247621,0.00039138,0.000599095,0.000881072,0.001259953,0.00176024,0.002381539,0.00316364,0.004026923,0.0050815,0.00612204,0.007404524,0.008703601,0.009913843,0.011202061,0.012341004,0.013313002,0.014378085,0.015204047,0.016016181,0.016770576,0.01735573,0.017840582,0.018263849,0.018543376,0.018981618,0.019135073,0.019325425,0.019607783,0.019816888,0.019968658,0.020200763,0.020157323,0.020226463
367.5,0.00E+00,5.81E-08,6.16E-08,1.31E-07,3.01E-07,7.24E-07,1.66E-06,3.69E-06,7.66E-06,1.51E-05,2.86E-05,5.10E-05,8.99E-05,0.000152145,0.000248466,0.00039106,0.000598022,0.000887809,0.001271613,0.001772824,0.002432283,0.003228401,0.004118529,0.005150471,0.006317654,0.007513123,0.008730178,0.00990359,0.011206782,0.01238006,0.01360305,0.014543682,0.015318043,0.016221509,0.016861975,0.017526116,0.018038624,0.018527523,0.018894468,0.019305324,0.019523332,0.019727175,0.019937561,0.020091624,0.020208384,0.020375129,0.020456005,0.02057344
370,0.00E+00,4.11E-08,5.92E-08,1.41E-07,3.10E-07,7.16E-07,1.68E-06,3.69E-06,7.71E-06,1.53E-05,2.90E-05,5.27E-05,9.17E-05,0.000154633,0.00025235,0.000401455,0.000607442,0.000901215,0.001303953,0.001852749,0.002465566,0.003227688,0.004215745,0.005258383,0.006317991,0.007574371,0.008872841,0.010197887,0.011388096,0.012640766,0.013877583,0.014855517,0.015763974,0.016594119,0.017370232,0.018069248,0.018680844,0.019206775,0.019376689,0.019621072,0.01995719,0.020072265,0.020459647,0.020584975,0.020677183,0.020837519,0.021064094,0.021278257
