1500.0,0.0,0.13933333333333334,0.16666666666666666,0.19733333333333333,0.23133333333333334,0.2673333333333333,0.306,0.3466666666666667,0.3893333333333333,0.43333333333333335,0.478,0.5226666666666666,0.5673333333333334,0.6113333333333333,0.654,0.6946666666666667,0.7333333333333333,0.7693333333333333,0.8033333333333333,0.834,0.8613333333333333,0.8866666666666667,0.9086666666666666,0.9273333333333333,0.944,0.958,0.97,0.98,0.988,0.9946666666666667,1.0
355.0,0.0,4.176369873349999e-08,8.22878550335e-08,1.4849350037350004e-07,2.818969772234999e-07,5.167877350234999e-07,8.746979094235e-07,1.3918200324234997e-06,1.9156442727235e-06,2.9951979152235005e-06,4.539168148223501e-06,5.847102565223498e-06,7.9733680997235e-06,1.01556610237235e-05,1.2292507057223498e-05,1.4334109743223503e-05,1.73178883232235e-05,1.90054379632235e-05,2.3629352993223502e-05,2.55235370632235e-05,2.5630374233223502e-05,2.9380853168223498e-05,3.0516515458223506e-05,3.1357546948223506e-05,3.44651408282235e-05,3.71847248832235e-05,3.814004748322351e-05,3.718079131322351e-05,3.8563564508223495e-05,4.0747307753223494e-05,3.91878170182235e-05
357.5,0.0,3.7934163828499995e-08,7.80323577685e-08,1.4599548332349997e-07,2.8284997557350005e-07,4.5740985277350007e-07,8.278968095235e-07,1.2950273237235e-06,1.8582772297234997e-06,2.9738070532235005e-06,4.2426264682234995e-06,5.675438896723499e-06,7.285138631723499e-06,9.8015044197235e-06,1.2806608567223501e-05,1.5977869023223502e-05,1.73701682532235e-05,1.94416893732235e-05,2.379281657822351e-05,2.5972315128223505e-05,2.8036072753223504e-05,3.1790588838223494e-05,3.373332799822351e-05,3.5376465428223504e-05,3.89232098982235e-05,4.25328959832235e-05,4.513643025322351e-05,4.46355780482235e-05,4.31245362732235e-05,4.29750477282235e-05,4.387529579822349e-05
360.0,0.0,4.672362862349999e-08,8.15772269835e-08,1.6120738622349999e-07,3.237206815235e-07,5.325049546235e-07,9.031224780734999e-07,1.6201696407235e-06,2.2952532537235004e-06,3.4954455792234997e-06,4.832260296723499e-06,7.0778828192235016e-06,9.4901033142235e-06,1.11788957502235e-05,1.4267440418223498e-05,1.76112761282235e-05,2.1882172118223497e-05,2.4612315778223497e-05,2.84463389882235e-05,3.03407312282235e-05,3.66663778432235e-05,3.8212616963223504e-05,3.89206207732235e-05,4.27728637882235e-05,4.218888432822351e-05,4.2547284903223495e-05,4.42399087482235e-05,4.4341258468223496e-05,4.716757656822351e-05,4.559048655322351e-05,4.4290737673223495e-05
362.5,0.0,5.5827668463500004e-08,1.0677396877349997e-07,1.8847308532350003e-07,3.442132769235e-07,6.231134906735e-07,1.0735455877234998e-06,1.7856101322235e-06,2.5299320177235e-06,3.4500221752235e-06,5.4576527277234995e-06,7.304083628223501e-06,1.00875418012235e-05,1.33500079632235e-05,1.6664339023223498e-05,1.91863989882235e-05,2.3634838983223495e-05,2.62802990532235e-05,3.31429275332235e-05,3.32210884932235e-05,3.630000489822349e-05,3.870642856822351e-05,4.1067611418223497e-05,4.31289882682235e-05,4.516106736322349e-05,4.8926765048223495e-05,4.86613294032235e-05,5.20133437732235e-05,5.3131405268223504e-05,5.8181218883223494e-05,6.12016449782235e-05
365.0,0.0,7.058162894349998e-08,1.2024386137349997e-07,2.3195008892349997e-07,4.293551458235001e-07,7.409345900735e-07,1.2841816616234999e-06,1.940816187723499e-06,2.9479617377235e-06,4.3067786087234994e-06,5.639308718223501e-06,8.9957746517235e-06,1.2061336644723501e-05,1.6377059033223503e-05,2.1517662973223497e-05,2.49892483132235e-05,2.77977597682235e-05,3.3977333423223496e-05,3.7577494903223494e-05,4.103044637822349e-05,4.225938327822349e-05,4.65109222982235e-05,4.88285201582235e-05,5.161850210822351e-05,5.57064708982235e-05,5.94470119582235e-05,5.859086603322349e-05,6.246671281822351e-05,5.966565503322351e-05,6.22082135182235e-05,6.0558345728223514e-05
367.5,0.0,6.88324010685e-08,1.4309007162349999e-07,2.7568700422349995e-07,5.171930697735e-07,8.630028163235e-07,1.3885673667234999e-06,2.2598156947235003e-06,3.3709844922235003e-06,4.6851549062235e-06,6.9863673042235e-06,9.487515046223499e-06,1.1888347838223503e-05,1.6481929543223495e-05,2.11422836232235e-05,2.5107576393223497e-05,2.75105827982235e-05,3.61428559582235e-05,4.054160471822349e-05,4.273704515322351e-05,4.722078709322351e-05,4.978964123822351e-05,5.132904651322349e-05,5.5025797603223515e-05,5.838309161822351e-05,5.70184337332235e-05,6.097233953322351e-05,5.9478482298223496e-05,6.255263823322351e-05,6.80795947782235e-05,6.91223950432235e-05
370.0,0.0,7.127575216349999e-08,1.3750099892349993e-07,2.832852262735e-07,5.043017725235e-07,9.160398807235e-07,1.6326001992235003e-06,2.6199605237235003e-06,3.8284294622235e-06,5.697903553723501e-06,8.513247766723499e-06,1.0955489802723499e-05,1.45581369732235e-05,1.92977911682235e-05,2.16970708432235e-05,2.6935090583223497e-05,3.13321834132235e-05,3.530358369822351e-05,3.985068403822349e-05,4.5489032613223494e-05,4.766780538322351e-05,5.179076567822351e-05,5.357262697322351e-05,5.5860102008223493e-05,5.891789995322351e-05,6.19055076432235e-05,6.39830338482235e-05,6.510554820322349e-05,6.499633062322349e-05,6.544509677322349e-05,6.638107669822351e-05
372.5,0.0,8.826988812350001e-08,1.857904566735e-07,3.460800800735e-07,6.577015341735001e-07,1.1120596499735e-06,1.8408019027235001e-06,3.0639700277235004e-06,4.665172658723499e-06,6.745880529223498e-06,9.126422088723501e-06,1.2386196315223499e-05,1.6586281603223504e-05,2.12386654232235e-05,2.46135574982235e-05,3.01306805132235e-05,3.60016480782235e-05,4.3810696013223505e-05,4.8652321933223495e-05,5.146776937322349e-05,5.6614481663223504e-05,5.8116930883223495e-05,6.24733388532235e-05,6.53857891782235e-05,6.93813723782235e-05,7.055935865322351e-05,7.473971209322349e-05,7.441496498322349e-05,7.33414385482235e-05,7.745456213322348e-05,7.73614815382235e-05
375.0,0.0,9.692218085349998e-08,1.8700027087350002e-07,3.501509528735e-07,7.060253924235e-07,1.2083033620235001e-06,1.9532675182235e-06,3.0792285862235005e-06,4.572792872723498e-06,6.820107097723502e-06,9.6373146687235e-06,1.2694698473223501e-05,1.7862322678223503e-05,2.2898056963223502e-05,2.7192763158223495e-05,3.47210523432235e-05,4.08875825882235e-05,4.898515333822351e-05,5.2832737923223515e-05,5.77041787282235e-05,6.33762777282235e-05,6.513764063822348e-05,7.393818640322351e-05,7.889731176322347e-05,7.78434325882235e-05,8.112400728822351e-05,8.480379082822349e-05,8.634479423322351e-05,9.355129884822351e-05,9.07702608732235e-05,9.26484154432235e-05
