10000,0,0.0909,0.108,0.127,0.1478,0.1706,0.1951,0.2215,0.2496,0.2794,0.3106,0.3432,0.3768,0.4114,0.4466,0.4822,0.5179,0.5535,0.5887,0.6233,0.6569,0.6895,0.7207,0.7505,0.7786,0.805,0.8295,0.8523,0.8731,0.8921,0.9092,0.9246,0.9383,0.9504,0.961,0.9703,0.9783,0.9851,0.9909,0.9959,1
407.5,0,9.45E-08,1.83E-07,3.49E-07,6.13E-07,1.18E-06,1.94E-06,3.02E-06,4.71E-06,7.34E-06,1.15E-05,1.73E-05,2.32E-05,3.10E-05,4.51E-05,5.35E-05,7.32E-05,9.02E-05,0.000108999,0.000133377,0.000162975,0.000187984,0.000213787,0.000243087,0.000273609,0.000302642,0.000334321,0.000357437,0.000375399,0.000393613,0.000415454,0.000432879,0.000453805,0.000473685,0.000493537,0.000508543,0.000524441,0.000530112,0.000538254,0.000547483,0.000552966
410,0,1.10E-07,2.09E-07,3.98E-07,6.95E-07,1.35E-06,2.24E-06,3.36E-06,5.28E-06,8.08E-06,1.26E-05,1.96E-05,2.68E-05,3.49E-05,5.13E-05,6.24E-05,8.60E-05,0.000102737,0.00012676,0.000156299,0.000185188,0.000215699,0.000246226,0.000279256,0.000306537,0.000338173,0.000367664,0.000405799,0.00044025,0.000470048,0.000495822,0.000524085,0.000534232,0.000553737,0.000568626,0.000591596,0.000611836,0.000622334,0.000623755,0.00063629,0.000633396
412.5,0,1.11E-07,2.33E-07,4.23E-07,7.70E-07,1.49E-06,2.39E-06,3.72E-06,5.85E-06,9.03E-06,1.42E-05,2.14E-05,2.88E-05,3.76E-05,5.54E-05,6.89E-05,9.55E-05,0.000114189,0.00014162,0.000175693,0.00020722,0.000236717,0.00027101,0.000305065,0.000335742,0.000370426,0.000407185,0.000442389,0.000473716,0.000505943,0.000531303,0.000559941,0.000582179,0.000613601,0.000636378,0.000657774,0.000668373,0.00067511,0.000688912,0.000702235,0.000708789
415,0,1.24E-07,2.65E-07,4.80E-07,8.69E-07,1.65E-06,2.79E-06,4.38E-06,6.81E-06,1.07E-05,1.66E-05,2.45E-05,3.26E-05,4.31E-05,6.38E-05,7.83E-05,0.000105786,0.000125058,0.000160769,0.000200427,0.000234621,0.000274231,0.000310112,0.000345175,0.000395087,0.000434431,0.000467834,0.000498249,0.000538027,0.000569577,0.000608436,0.000636051,0.000657342,0.000684995,0.000723673,0.000750997,0.000769926,0.000777993,0.00078562,0.000796491,0.000805877
417.5,0,1.40E-07,2.83E-07,5.28E-07,9.38E-07,1.79E-06,3.04E-06,4.71E-06,7.38E-06,1.14E-05,1.81E-05,2.64E-05,3.50E-05,4.82E-05,7.04E-05,8.37E-05,0.000116625,0.000141679,0.000172336,0.000214972,0.000251645,0.000298544,0.000342159,0.000384186,0.00042867,0.000463708,0.000511333,0.000556738,0.000593905,0.000637035,0.000674598,0.000705737,0.000738917,0.000757586,0.000780859,0.00080266,0.000827292,0.000841185,0.000850475,0.000866759,0.000868612
420,0,1.66E-07,3.24E-07,6.13E-07,1.05E-06,2.04E-06,3.52E-06,5.56E-06,8.71E-06,1.38E-05,2.09E-05,2.99E-05,3.96E-05,5.66E-05,8.06E-05,9.87E-05,0.000133356,0.000167018,0.000196142,0.000237884,0.000289629,0.000340179,0.000388358,0.000436524,0.000486177,0.000537555,0.000589115,0.000649974,0.000696504,0.000735702,0.000774544,0.000815492,0.000838159,0.000860482,0.000876424,0.000883006,0.000902054,0.000919412,0.000941799,0.000960399,0.000954348
422.5,0,1.84E-07,3.37E-07,6.66E-07,1.14E-06,2.18E-06,3.83E-06,6.10E-06,9.85E-06,1.49E-05,2.27E-05,3.27E-05,4.35E-05,6.36E-05,8.53E-05,0.000109314,0.000138896,0.000182996,0.000217478,0.000263685,0.000312973,0.000369066,0.000418934,0.000480267,0.000541958,0.000601577,0.000652202,0.000683578,0.000731062,0.000769051,0.000805906,0.000839238,0.000867953,0.000903027,0.000932926,0.000962744,0.000981216,0.000993229,0.001001506,0.001006802,0.001003364
425,0,2.11E-07,3.75E-07,8.05E-07,1.33E-06,2.40E-06,4.29E-06,7.11E-06,1.12E-05,1.73E-05,2.60E-05,3.53E-05,4.85E-05,7.37E-05,8.96E-05,0.000128461,0.000153816,0.000200513,0.000254126,0.000300442,0.00035069,0.000405394,0.000467775,0.000529754,0.000584771,0.000635457,0.000695507,0.000767794,0.000830367,0.000872947,0.000903385,0.000924907,0.000965367,0.000994282,0.001018288,0.00103815,0.001050978,0.001062524,0.001080767,0.001088647,0.001092174
427.5,0,2.11E-07,4.31E-07,8.24E-07,1.53E-06,2.50E-06,4.36E-06,7.60E-06,1.22E-05,1.84E-05,2.66E-05,3.72E-05,5.57E-05,7.90E-05,9.89E-05,0.000139703,0.000171763,0.000208426,0.000265464,0.000320866,0.000377788,0.000441656,0.000503952,0.000565361,0.000632846,0.000708169,0.000761098,0.00079278,0.00083518,0.000897423,0.000943657,0.000984852,0.001013131,0.0010413,0.001070225,0.001094718,0.001106154,0.001107178,0.001117144,0.00112856,0.001124179
